Influencer,link,video 1,video 2,video 3,Average Views,Multiplier
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
https://tiktok.com/@jadathegr8ta,https://tiktok.com/@jadathegr8ta,63900.0,335500.0,29100.0,185640.0,
https://tiktok.com/@hatsunenica,https://tiktok.com/@hatsunenica,93200.0,1100000.0,59100.0,722040.0,
https://tiktok.com/@tefym_,https://tiktok.com/@tefym_,60500.0,238400.0,66300.0,235560.0,
https://tiktok.com/@elpecasfelipe2,https://tiktok.com/@elpecasfelipe2,25300.0,137300.0,338900.0,208060.0,
https://tiktok.com/@itsspascal,https://tiktok.com/@itsspascal,125.0,8716.0,20100.0,7659.6,
https://tiktok.com/@fisher_perry,https://tiktok.com/@fisher_perry,26900.0,49900.0,527700.0,159640.0,
https://tiktok.com/@benesherick,https://tiktok.com/@benesherick,141800.0,39200.0,48500.0,58960.0,
https://tiktok.com/@luvbiinky,https://tiktok.com/@luvbiinky,30700.0,113600.0,237600.0,228000.0,
https://tiktok.com/@blockay,https://tiktok.com/@blockay,247800.0,305600.0,1800000.0,831460.0,
https://tiktok.com/@sofyleone_,https://tiktok.com/@sofyleone_,36600.0,36200.0,122200.0,70980.0,
https://tiktok.com/@Rileysaurage,https://tiktok.com/@Rileysaurage,258300.0,1000000.0,258300.0,594600.0,
https://tiktok.com/@biiaoliveira.m,https://tiktok.com/@biiaoliveira.m,154900.0,82500.0,13000.0,56868.8,
https://tiktok.com/@northvalleygrp,https://tiktok.com/@northvalleygrp,80900.0,22500.0,40800.0,2679500.0,
https://tiktok.com/@contentmachine,https://tiktok.com/@contentmachine,806100.0,153300.0,494400.0,806480.0,
https://tiktok.com/@mikecaponera,https://tiktok.com/@mikecaponera,6889.0,18800.0,514700.00000000006,122517.8,
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
https://tiktok.com/@joaquivergecio,https://tiktok.com/@joaquivergecio,48400.0,29200.0,28100.0,29020.0,
https://tiktok.com/@kimantipona,https://tiktok.com/@kimantipona,1806.0,4095.0,909.0,1831.2,
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
https://tiktok.com/@kennabeann14,https://tiktok.com/@kennabeann14,348400.0,421800.0,278700.0,416280.0,
https://tiktok.com/@mw.luchi,https://tiktok.com/@mw.luchi,3692.0,2460.0,3923.0,9255.0,
https://tiktok.com/@theperkybee,https://tiktok.com/@theperkybee,148300.0,3600000.0,1000000.0,1218160.0,
https://tiktok.com/@matheusalexandre_,https://tiktok.com/@matheusalexandre_,7038.0,138600.0,2048.0,39591.0,
https://tiktok.com/@yourboyab43,https://tiktok.com/@yourboyab43,1500000.0,489300.0,258800.0,944440.0,
https://tiktok.com/@therealbcelltg,https://tiktok.com/@therealbcelltg,2266.0,17400.0,6649.0,10685.2,
https://tiktok.com/@toasterztech,https://tiktok.com/@toasterztech,75100.0,69500.0,569400.0,316540.0,
https://tiktok.com/@pitayaq,https://tiktok.com/@pitayaq,79000.0,130699.99999999999,75100.0,127240.0,
https://tiktok.com/@claire_training,https://tiktok.com/@claire_training,5823.0,7026.0,17500.0,17939.2,
https://tiktok.com/@tiiagonahu,https://tiktok.com/@tiiagonahu,12600.0,9911.0,147100.0,58902.2,
https://tiktok.com/@kimp0ssiblez,https://tiktok.com/@kimp0ssiblez,303400.0,891800.0,371700.0,688040.0,
https://tiktok.com/@kellyxgallo,https://tiktok.com/@kellyxgallo,317500.0,835800.0,77700.0,266660.0,
https://tiktok.com/@ishmoneyy,https://tiktok.com/@ishmoneyy,NO account found,NO account found,NO account found,NO account found,
https://tiktok.com/@whatsgood24.7.365,https://tiktok.com/@whatsgood24.7.365,474500.0,3600000.0,312000.0,975500.0,
https://tiktok.com/@lulu.lozano,https://tiktok.com/@lulu.lozano,52000.0,35000.0,79800.0,70080.0,
https://tiktok.com/@GerohanIrias,https://tiktok.com/@GerohanIrias,305600.0,1400000.0,3600000.0,2241120.0,
https://tiktok.com/@mia_rezanowiczz,https://tiktok.com/@mia_rezanowiczz,141800.0,223200.0,269800.0,237520.0,
https://tiktok.com/@justinbslater,https://tiktok.com/@justinbslater,200200.0,22400.0,20100.0,54833.2,
https://tiktok.com/@solecheverria,https://tiktok.com/@solecheverria,347200.0,124300.0,1100000.0,407740.0,
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
https://tiktok.com/@fagoz,https://tiktok.com/@fagoz,7677.0,2999.0,21900.0,12855.2,
https://tiktok.com/@depeet,https://tiktok.com/@depeet,77900.0,742300.0,92400.0,250400.0,
https://tiktok.com/@its_habeeb,https://tiktok.com/@its_habeeb,817.0,8005.0,6001.0,5053.2,
https://tiktok.com/@vitoriaferrerrr,https://tiktok.com/@vitoriaferrerrr,3760.0,1737.0,2319.0,2049.6,
https://tiktok.com/@kenzao.oficial,https://tiktok.com/@kenzao.oficial,7373.0,14400.0,23100.0,15174.6,
https://tiktok.com/@danny.prk,https://tiktok.com/@danny.prk,154100.0,40100.0,121500.0,88400.0,
https://tiktok.com/@kyhanpeppers,https://tiktok.com/@kyhanpeppers,58900.0,104200.0,51100.0,67920.0,
https://tiktok.com/@bruna.aanjos,https://tiktok.com/@bruna.aanjos,57400.0,261000.0,97600.0,317460.0,
https://tiktok.com/@ragnaaarr,https://tiktok.com/@ragnaaarr,137300.0,110800.0,1300000.0,1309620.0,
https://tiktok.com/@johnyonthestreet,https://tiktok.com/@johnyonthestreet,9125.0,6510.0,10500.0,9716.8,
https://tiktok.com/@katebuitron,https://tiktok.com/@katebuitron,8396.0,10300.0,6726.0,15184.4,
https://tiktok.com/@emmitaxemiliana,https://tiktok.com/@emmitaxemiliana,36700.0,53500.0,356800.0,135160.0,
https://tiktok.com/@im_uncle_mason,https://tiktok.com/@im_uncle_mason,134200.0,33700.0,26100.0,144260.0,
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
https://tiktok.com/@alexespinozza,https://tiktok.com/@alexespinozza,813400.0,40600.0,52700.0,460820.0,
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
https://tiktok.com/@nicoleosoria_,https://tiktok.com/@nicoleosoria_,18300.0,11100.0,27700.0,39980.0,
https://tiktok.com/@clenilsonpirulito,https://tiktok.com/@clenilsonpirulito,417100.0,24300.0,143900.0,197820.0,
https://tiktok.com/@linoya_friedman,https://tiktok.com/@linoya_friedman,11500.0,8961.0,5002.0,13732.6,
https://tiktok.com/@mirandaallyn,https://tiktok.com/@mirandaallyn,19800.0,7314.0,46400.0,676563.8,
https://tiktok.com/@nesrasgado,https://tiktok.com/@nesrasgado,30700.0,316300.0,33400.0,146720.0,
